frame,time_sec,marker_id,x,y,z,rx,ry,rz
0,0.000000,1,-9876.596757,-1878.668573,273387.807017,0.221960,3.122973,0.423767
1,0.016667,7,-5037.573662,-2637.815835,279549.629687,0.183265,3.037929,-0.028399
2,0.033333,7,-5037.573662,-2637.815835,279549.629687,0.183265,3.037929,-0.028399
3,0.050000,1,-9879.008148,-1876.309884,273456.341557,0.222904,3.113847,0.431520
3,0.050000,7,-5003.606385,-2603.077206,276454.712445,-0.206786,-3.394219,0.046913
4,0.066667,1,-9876.596757,-1878.668573,273387.807017,0.221960,3.122973,0.423767
4,0.066667,7,-5063.204808,-2618.050192,279981.514319,-0.193314,-3.180931,-0.148336
5,0.083333,1,-9877.595805,-1878.770342,273416.122778,0.221681,3.117991,0.444829
5,0.083333,7,-5040.919571,-2634.266885,279729.162551,0.181905,3.045321,-0.122340
6,0.100000,1,-9879.008148,-1876.309884,273456.341557,0.222904,3.113847,0.431520
6,0.100000,7,-5063.204808,-2618.050192,279981.514319,-0.193314,-3.180931,-0.148336
8,0.133333,1,-9873.044900,-1875.214241,273287.457435,0.221057,3.132864,0.416559
9,0.150000,7,-5056.811989,-2610.057835,279462.961328,-0.194880,-3.166117,-0.203180
10,0.166667,1,-9873.044900,-1875.214241,273287.457435,0.221057,3.132864,0.416559
11,0.183333,7,-5037.168087,-2637.559792,278595.077197,0.192618,2.956583,-0.058448
13,0.216667,7,-5004.077366,-2601.866447,276319.059186,-0.207893,-3.387374,0.061968
14,0.233333,7,-5004.077366,-2601.866447,276319.059186,-0.207893,-3.387374,0.061968
15,0.250000,1,-9810.099635,-1861.902089,271781.524657,0.222097,3.121582,0.456559
15,0.250000,7,-5026.721330,-2629.351069,278022.701607,0.190386,2.943884,-0.067921
16,0.266667,1,-9808.418705,-1864.299079,271733.961254,0.220842,3.125098,0.469294
16,0.266667,7,-5027.477263,-2631.198260,278228.114712,0.188581,2.936840,-0.049218
17,0.283333,1,-9810.099635,-1861.902089,271781.524657,0.222097,3.121582,0.456559
17,0.283333,7,-5026.721330,-2629.351069,278022.701607,0.190386,2.943884,-0.067921
18,0.300000,1,-9810.099635,-1861.902089,271781.524657,0.222097,3.121582,0.456559
18,0.300000,7,-5004.077366,-2601.866447,276319.059186,-0.207893,-3.387374,0.061968
19,0.316667,7,-5026.721330,-2629.351069,278022.701607,0.190386,2.943884,-0.067921
20,0.333333,7,-5026.721330,-2629.351069,278022.701607,0.190386,2.943884,-0.067921
21,0.350000,1,-9810.099635,-1861.902089,271781.524657,0.222097,3.121582,0.456559
21,0.350000,7,-5026.721330,-2629.351069,278022.701607,0.190386,2.943884,-0.067921
22,0.366667,1,-9810.099635,-1861.902089,271781.524657,0.222097,3.121582,0.456559
22,0.366667,7,-5026.721330,-2629.351069,278022.701607,0.190386,2.943884,-0.067921
23,0.383333,1,-9835.049383,-1866.170549,272395.238194,0.220820,3.118005,0.444297
23,0.383333,7,-5026.721330,-2629.351069,278022.701607,0.190386,2.943884,-0.067921
24,0.400000,1,-9833.491954,-1868.595257,272351.046997,0.219577,3.121810,0.457289
24,0.400000,7,-5026.721330,-2629.351069,278022.701607,0.190386,2.943884,-0.067921
25,0.416667,1,-9835.049383,-1866.170549,272395.238194,0.220820,3.118005,0.444297
25,0.416667,7,-5026.721330,-2629.351069,278022.701607,0.190386,2.943884,-0.067921
26,0.433333,1,-9835.049383,-1866.170549,272395.238194,0.220820,3.118005,0.444297
26,0.433333,7,-5026.721330,-2629.351069,278022.701607,0.190386,2.943884,-0.067921
